reporter	class	count
AABp_10	chimeric	11
AABp_2	full_length	78
AABp_2	ambiguous	1
AABp_3	full_length	978
AABp_3	chimeric	14
AABp_3	ambiguous	3
AABp_4	full_length	86
AABp_4	ambiguous	32
AABp_5	full_length	571
AABp_5	chimeric	236
AABp_5	ambiguous	86
AABp_6	full_length	209
AABp_6	chimeric	67
AABp_6	ambiguous	22
AABp_7	full_length	73
AABp_7	ambiguous	1
AABp_7	chimeric	1
AABp_8	full_length	167
AABp_8	ambiguous	6
AABp_8	chimeric	4
AABp_9	full_length	1542
AABp_9	ambiguous	20
AABp_9	chimeric	7
AALA_1	full_length	99
AALA_1	chimeric	5
AALA_10	full_length	383
AALA_10	chimeric	15
AALA_10	RT_error	1
AALA_10	ambiguous	1
AALA_2	full_length	524
AALA_2	chimeric	25
AALA_2	ambiguous	1
AALA_3	full_length	729
AALA_3	chimeric	33
AALA_4	full_length	593
AALA_4	chimeric	98
AALA_4	ambiguous	65
AALA_5	full_length	505
AALA_5	chimeric	34
AALA_6	full_length	908
AALA_6	ambiguous	93
AALA_6	chimeric	45
AALA_7	full_length	721
AALA_7	chimeric	44
AALA_8	full_length	120
AALA_8	chimeric	4
AALA_9	full_length	749
AALA_9	chimeric	46
AALA_9	ambiguous	1
AALB_1	full_length	474
AALB_1	ambiguous	2
AALB_10	full_length	212
AALB_10	chimeric	6
AALB_2	full_length	227
AALB_2	ambiguous	1
AALB_2	chimeric	1
AALB_3	full_length	27
AALB_4	full_length	53
AALB_4	ambiguous	14
AALB_4	chimeric	1
AALB_5	full_length	58
AALB_6	full_length	797
AALB_6	ambiguous	24
AALB_6	chimeric	2
AALB_7	full_length	319
AALB_7	ambiguous	53
AALB_7	chimeric	6
AALB_8	full_length	81
AALB_8	ambiguous	24
AALB_8	chimeric	12
AALB_9	full_length	468
AALB_9	chimeric	2
AALL_1	full_length	2
AALL_10	full_length	246
AALL_10	ambiguous	27
AALL_10	chimeric	2
AALL_2	full_length	1497
AALL_2	ambiguous	23
AALL_2	chimeric	19
AALL_3	full_length	472
AALL_3	ambiguous	27
AALL_3	chimeric	2
AALL_4	full_length	675
AALL_4	ambiguous	3
AALL_4	chimeric	3
AALL_5	full_length	346
AALL_5	ambiguous	37
AALL_5	chimeric	29
AALL_5	RT_error	1
AALL_6	full_length	77
AALL_6	chimeric	1
AALL_7	full_length	81
AALL_7	ambiguous	44
AALL_8	full_length	76
AALL_8	chimeric	34
AALL_8	ambiguous	15
AALL_9	full_length	176
AALL_9	ambiguous	59
AALL_9	chimeric	12
AALS_1	full_length	566
AALS_1	chimeric	6
AALS_1	ambiguous	1
AALS_10	full_length	340
AALS_10	ambiguous	47
AALS_10	chimeric	18
AALS_2	full_length	1586
AALS_2	chimeric	27
AALS_2	ambiguous	23
AALS_3	full_length	123
AALS_3	chimeric	22
AALS_3	ambiguous	1
AALS_4	full_length	444
AALS_4	chimeric	29
AALS_4	ambiguous	19
AALS_5	full_length	1261
AALS_5	ambiguous	128
AALS_5	chimeric	26
AALS_6	full_length	262
AALS_6	ambiguous	42
AALS_6	chimeric	15
AALS_7	full_length	597
AALS_7	chimeric	30
AALS_8	full_length	161
AALS_8	chimeric	9
AALS_9	full_length	243
AALS_9	ambiguous	21
AALS_9	chimeric	4
AALp_1	full_length	62
AALp_10	full_length	906
AALp_10	ambiguous	17
AALp_10	chimeric	3
AALp_2	full_length	187
AALp_2	ambiguous	1
AALp_2	chimeric	1
AALp_3	full_length	127
AALp_3	ambiguous	94
AALp_3	chimeric	44
AALp_4	full_length	1711
AALp_4	chimeric	33
AALp_4	ambiguous	23
AALp_5	full_length	637
AALp_5	chimeric	2
AALp_6	full_length	526
AALp_6	chimeric	22
AALp_6	ambiguous	1
AALp_7	full_length	585
AALp_7	chimeric	80
AALp_7	ambiguous	28
AALp_8	full_length	619
AALp_8	ambiguous	34
AALp_8	chimeric	2
AALp_9	full_length	735
AALp_9	chimeric	38
AALp_9	ambiguous	1
AASA_1	full_length	844
AASA_1	ambiguous	56
AASA_1	chimeric	52
AASA_10	full_length	1355
AASA_10	chimeric	74
AASA_10	ambiguous	5
AASA_2	full_length	358
